t,Thrust,Side_Force,Moment,power,ypos,theta
0.0,-0.0,-0.0,-0.0,0.0,0.0,20.0
0.02789400278940028,0.4585900968380637,1.0362409435533884,0.33774780463834037,-0.0029208077048334356,0.0,19.993089031370555
0.05578800557880056,0.2640682498546334,0.6789259655181175,0.09686221580035101,-0.0016747297313870833,0.0,19.97236090163097
0.08368200836820083,0.20309867946673157,0.5908170790670438,0.03798802044593674,-0.000984641298341627,0.0,19.937829935926672
0.11157601115760112,0.16110846678677368,0.518843587025037,-0.012906226854864433,0.00044567577710911196,0.0,19.88951999849974
0.1394700139470014,0.14918063269456222,0.515061597296778,-0.012080709618871865,0.000520920601341384,0.0,19.82746447619638
0.16736401673640167,0.14378576762228698,0.5121262611157944,-0.01292615074580114,0.0006680031152272138,0.0,19.75170625539338
0.19525801952580196,0.1363179362831451,0.5071335125358757,-0.01342617993823892,0.0008082708333062032,0.0,19.66229769235948
0.22315202231520223,0.14521138375123419,0.5455541409213329,0.03178988986100605,-0.002183398770610753,0.0,19.559300577072115
0.2510460251046025,0.13780798772509126,0.537828846627896,0.03138473704339682,-0.002420258510387644,0.0,19.442786090514552
0.2789400278940028,0.12561674485761015,0.5164011500317676,0.019762245204732076,-0.001689594751819426,0.0,19.312834755482935
0.3068340306834031,0.11898590568670399,0.5131384574288849,0.020266292720165148,-0.001901329241961941,0.0,19.169536380937245
0.33472803347280333,0.11337973923536222,0.5054798333101033,0.023433967704122847,-0.0023919919661512658,0.0,19.012989999934593
0.36262203626220363,0.10854972028605639,0.4867699165117012,0.018104025864808745,-0.001996141810770373,0.0,18.843303801187798
0.3905160390516039,0.10541798864965418,0.4592974628698937,0.00704990946486226,-0.000834492141173668,0.0,18.660595054296493
0.41841004184100417,0.10531053185966745,0.4377180060137189,-0.0012378964791558145,0.00015646645221190905,0.0,18.46499002870249
0.44630404463040446,0.10807959682723664,0.43560271043555593,0.003909382524091273,-0.0005251767921729458,0.0,18.256623906425357
0.47419804741980476,0.10064593331624128,0.4018422508492532,-0.015374689918085594,0.00218605303251544,0.0,18.035640688638537
0.502092050209205,0.10610157835844149,0.40954400761916837,0.008097544091755428,-0.0012141017390663853,0.0,17.802193096150607
0.5299860529986054,0.09866496048113783,0.38334099578820585,-0.003869869664570636,0.0006098153353788829,0.0,17.556442463860403
0.5578800557880056,0.10808044296908279,0.4154183650678006,0.037671707960684066,-0.006220246614850061,0.0,17.298558629258963
0.5857740585774058,0.09456609067506772,0.36912217445075246,0.011334702223360485,-0.001955688861617059,0.0,17.028719815055386
0.6136680613668062,0.08578797381124104,0.3285356148074457,-0.01164956800847185,0.0020950985051530514,0.0,16.747112506007664
0.6415620641562064,0.08405142064345225,0.31116895180692306,-0.019874844937952378,0.003717046557882363,0.0,16.453931320043665
0.6694560669456067,0.07159300887023869,0.2530702447309356,-0.05657556672666635,0.010979769486034631,0.0,16.149378873761286
0.697350069735007,0.06919809677224542,0.24329889578018982,-0.04729252820872651,0.009505253530379898,0.0,15.833665642400751
0.7252440725244073,0.07297361561996236,0.26564872941884426,-0.012972818431671754,0.0026953031557183115,0.0,15.507009814385846
0.7531380753138075,0.06147886518322107,0.2208678550558233,-0.03547698293048094,0.00760622198510938,0.0,15.16963714053457
0.7810320781032078,0.05149005283460623,0.16033320818514057,-0.07055439821182465,0.015584335593041652,0.0,14.82178077804347
0.8089260808926081,0.05026324508457531,0.13612346577522794,-0.08367519408080168,0.0190123851237404,0.0,14.463681129353414
0.8368200836820083,0.05002728573600917,0.1213818819843979,-0.07889490410007456,0.018413440281716417,0.0,14.095585676008238
0.8647140864714087,0.048116570513214406,0.12330640678216473,-0.05377394926566323,0.012873817915610354,0.0,13.717748807621014
0.8926080892608089,0.0407219077534516,0.10132328721580658,-0.063116477043125,0.01547963007513209,0.0,13.330431646066181
0.9205020920502092,0.03927530913038595,0.04930201435573656,-0.08841838546167705,0.022187200153758295,0.0,12.93390186501906
0.9483960948396095,0.04155268166935713,0.015421158558074285,-0.10943702213885494,0.02806403863755808,0.0,12.528433504967394
0.9762900976290098,0.038983447759514483,-0.011522250204394027,-0.11547549932331688,0.030227870878843315,0.0,12.114306783822839
1.00418410041841,0.03508258825805545,0.020912454043927498,-0.07335371359526206,0.01957930953913629,0.0,11.691807903263241
1.0320781032078103,0.04056933503433888,-0.022609521082182005,-0.08637905017138235,0.023484705863335884,0.0,11.26122885093955
1.0599721059972107,0.04438329779141523,-0.06026050683602786,-0.110121773870703,0.030465739147139334,0.0,10.822867198684072
1.0878661087866108,0.04535468042922288,-0.09980069665121291,-0.12543544320953676,0.03527735763615967,0.0,10.377025896859534
1.1157601115760112,0.046577066692525274,-0.10075996300714571,-0.11184286988019684,0.03194556055671688,0.0,9.924013064990971
1.1436541143654115,0.047413213759887926,-0.12203642226893854,-0.10300807981733678,0.029853939147364145,0.0,9.464141778825383
1.1715481171548117,0.04430839903352489,-0.17300449558285635,-0.13721812327030464,0.04031652780384726,0.0,8.99772985396599
1.199442119944212,0.04591617486095045,-0.20980036561489507,-0.14894706360854515,0.044327015089413654,0.0,8.525099626230897
1.2273361227336124,0.05073691776582215,-0.17431158426290363,-0.09812179211782697,0.029552895319846548,0.0,8.046577728887828
1.2552301255230125,0.04693285669915921,-0.23219968138137065,-0.12686586665940436,0.03863840452961148,0.0,7.562494866918893
1.2831241283124128,0.04674135958327903,-0.2812923726397768,-0.15881542435721102,0.048871606063899245,0.0,7.073185588471393
1.3110181311018132,0.04608277651697755,-0.33188462797313245,-0.1785575394677882,0.05547387967087088,0.0,6.578988053652674
